"LotFrontage","LotArea","OverallQual","YearBuilt","MasVnrArea","ExterQual","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","Fence","MSZoning_data[[col]]RL","MSZoning_data[[col]]RM","LotShape_data[[col]]IR1","LotShape_data[[col]]IR2","LotShape_data[[col]]Reg","LandContour_data[[col]]HLS","LotConfig_data[[col]]CulDSac","Neighborhood_data[[col]]BrkSide","Neighborhood_data[[col]]Edwards","Neighborhood_data[[col]]IDOTRR","Neighborhood_data[[col]]NAmes","Neighborhood_data[[col]]NoRidge","Neighborhood_data[[col]]NridgHt","Neighborhood_data[[col]]OldTown","Neighborhood_data[[col]]Sawyer","Neighborhood_data[[col]]Somerst","Neighborhood_data[[col]]StoneBr","Neighborhood_data[[col]]Timber","BldgType_data[[col]]1Fam","HouseStyle_data[[col]]1.5Fin","HouseStyle_data[[col]]2Story","RoofStyle_data[[col]]Gable","RoofStyle_data[[col]]Hip","RoofMatl_data[[col]]WdShngl","Electrical_data[[col]]FuseA","Electrical_data[[col]]FuseF","Electrical_data[[col]]SBrkr","GarageType_data[[col]]0","GarageType_data[[col]]Attchd","GarageType_data[[col]]BuiltIn","GarageType_data[[col]]Detchd","SaleType_data[[col]]New","SaleType_data[[col]]WD","SaleCondition_data[[col]]Normal","SaleCondition_data[[col]]Partial","Exterior1st_data[[col]]CemntBd","Exterior1st_data[[col]]MetalSd","Exterior1st_data[[col]]VinylSd","Exterior1st_data[[col]]Wd Sdng","Exterior2nd_data[[col]]CmentBd","Exterior2nd_data[[col]]MetalSd","Exterior2nd_data[[col]]VinylSd","Exterior2nd_data[[col]]Wd Sdng","Foundation_data[[col]]BrkTil","Foundation_data[[col]]CBlock","Foundation_data[[col]]PConc","MasVnrType_data[[col]]BrkFace","MasVnrType_data[[col]]None","MasVnrType_data[[col]]Stone"
0.16780822,0.046273575,5,58,0,3,3,3,1,3,0.1605244507,0.057363014,0.17021277,5,1,0.162000918,0,0.13300678,1,1,0,3,1,3,5,0,58,1,1,0.2708039,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.21917808,0.0496576223,9,18,0.17875,5,5,3,1,6,0.1768249468,0.075770548,0.19230769,5,1,0.194584672,0.55302663,0.3749058,1,3,0,4,1,5,11,2,18,3,3,0.5190409,3,3,0.17152859,0.038391225,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.16438356,0.0545373811,5,61,0,3,3,3,1,5,0.1305811481,0.074914384,0.1492635,3,1,0.132629647,0,0.10889224,1,1,0,2,1,3,4,0,61,1,1,0.248237,3,3,0.16336056,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.23972603,0.043712169,7,17,0.19125,4,4,3,3,1,0,0.639554795,0.24451718,5,1,0.266177145,0,0.21853806,0,2,0,3,1,4,7,1,17,2,3,0.5923836,3,3,0.18669778,0.060329068,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.16438356,0.0449648274,6,63,0.1325,3,3,3,1,4,0.1298724309,0.22260274,0.20507365,3,1,0.210876549,0,0.17313489,1,1,1,2,1,3,5,1,63,2,1,0.248237,3,3,0,0.389396709,0.31884058,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0.10273973,0.0225291547,7,94,0,3,3,3,1,1,0,0.356164384,0.13617021,5,1,0.119320789,0,0.09796534,0,1,0,2,1,3,5,0,32,1,2,0.4062059,3,3,0.05600933,0.204753199,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
0.16438356,0.046465213,6,53,0.1125,3,3,3,1,5,0.1024096386,0.182363014,0.16432079,5,1,0.153740248,0,0.12622457,1,1,0,2,1,3,5,1,53,3,2,0.3385049,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
0.17465753,0.0443618687,4,56,0,3,0,0,0,0,0,0,0,3,1,0.22074346,0,0.18123587,0,2,0,2,2,3,6,0,56,1,2,0.3638928,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.15410959,0.0579354507,5,19,0,3,3,3,1,6,0.1144578313,0.200342466,0.18232406,5,1,0.178981184,0,0.146948,1,1,1,3,1,4,6,0,19,1,2,0.4062059,3,3,0,0.186471664,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.16780822,0.0292598565,5,65,0,3,3,3,1,2,0.08929837,0.224743151,0.16841244,3,1,0.230610372,0,0.18933685,0,1,0,3,1,3,6,0,65,1,1,0.2073343,3,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.2739726,0.0603659819,8,18,0.2375,4,5,3,3,1,0,0.495719178,0.18952537,5,1,0.189077559,0.58983051,0.38470234,0,3,1,4,1,4,9,1,18,2,3,0.6015515,3,3,0.28004667,0.281535649,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.12328767,0.0287410316,7,93,0,3,3,3,1,1,0,0.272688356,0.10425532,5,1,0.177604406,0,0.14581763,0,1,0,3,1,4,6,1,93,1,1,0.1974612,3,1,0,0,0.37137681,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
0.18493151,0.0394587394,8,21,0.175625,4,4,3,1,1,0,0.760702055,0.2908347,5,1,0.335245525,0,0.27524491,0,2,0,3,1,4,7,1,21,2,2,0.3765867,3,3,0.19953326,0.290676417,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.07876712,0.013667064,5,47,0,3,4,3,1,6,0.1488306166,0.085616438,0.17021277,3,1,0.166590179,0,0.13677468,1,1,0,3,1,3,6,1,47,1,2,0.403385,3,3,0.11668611,0.201096892,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
0.16438356,0.0324662881,5,55,0,3,3,3,2,3,0.0333097094,0.087328767,0.17348609,5,1,0.166590179,0,0.13677468,1,1,0,3,1,4,6,1,55,1,1,0.190409,3,3,0.47374562,0.164533821,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.30479452,0.0604360934,8,16,0.4,4,4,3,1,1,0,0.670376712,0.25630115,5,1,0.290500229,0,0.23850791,0,2,0,3,1,4,7,1,16,2,3,0.6276446,3,3,0,0.1023766,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.13356164,0.0275771811,5,72,0,3,3,3,2,4,0.0414599575,0.077054795,0.14729951,3,1,0.12987609,0,0.1066315,0,1,0,3,1,4,5,0,18,1,2,0.4062059,3,3,0.25904317,0.058500914,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0.26369863,0.0475729744,8,16,0.125,4,5,3,1,6,0.215804394,0.208047945,0.27888707,5,1,0.314364387,0,0.25810098,1,2,0,3,1,4,7,1,15,2,3,0.5444288,3,3,0,0.091407678,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.0890411,0.0702096333,5,66,0,3,3,3,4,4,0.2262579731,0.088613014,0.24288052,3,1,0.290500229,0,0.23850791,1,1,0,2,1,3,6,2,66,2,1,0.2249647,3,3,0.33605601,0.47166362,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0.13356164,0.0234826708,4,96,0,3,3,3,1,1,0,0.22260274,0.08510638,2,0,0.042680128,0,0.03504145,0,1,0,1,1,2,4,0,103,1,1,0.1692525,2,3,0.0571762,0,0.1576087,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0.09931507,0.0336535091,4,103,0,3,3,3,1,1,0,0.277825342,0.10621931,3,0,0.072280863,0.32348668,0.18519216,0,1,0,3,1,3,6,0,103,1,1,0.1763047,3,1,0,0.098720293,0.3115942,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.16438356,0.0338591694,5,57,0,3,3,3,1,1,0,0.525684932,0.200982,4,1,0.205139972,0,0.16842502,0,1,1,3,1,4,6,0,57,1,1,0.1911142,3,3,0,0.118829982,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.21917808,0.0455677861,8,16,0,4,5,3,3,1,0,0.528253425,0.20196399,5,1,0.206516751,0,0.16955539,0,2,0,3,1,4,7,0,16,2,2,0.3413258,3,3,0,0.054844607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.16780822,0.0432447592,5,64,0,3,3,3,1,3,0.180368533,0.162671233,0.22880524,4,1,0.313446535,0,0.2573474,0,1,1,4,1,4,6,1,64,2,2,0.3152327,3,3,0,0.069469835,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.13356164,0.0281053542,9,18,0.15375,5,5,3,1,6,0.2042877392,0.174657534,0.25548282,5,1,0.28155117,0,0.23116051,1,2,0,2,1,5,6,1,18,3,2,0.3921016,3,3,0.23687281,0.085923218,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0.29794521,0.0566407254,8,19,0.0825,4,5,3,3,1,0,0.478167808,0.18281506,5,1,0.183111519,0.63922518,0.39902035,0,3,1,4,1,4,9,1,19,3,3,0.4873061,3,3,0.13185531,0.058500914,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.31164384,0.0446797074,5,29,0,3,4,3,1,1,0,0.469606164,0.17954173,5,1,0.175080312,0,0.14374529,0,1,1,3,1,3,6,0,28,1,2,0.4739069,3,3,0.45740957,0.117001828,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.18150685,0.0338030802,5,69,0.40625,3,3,3,1,3,0.2149184975,0.035958904,0.21227496,4,1,0.220972923,0,0.18142427,0,1,0,3,1,3,5,1,69,3,2,0.3511989,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
0.1609589,0.0309518802,5,70,0,3,3,3,1,6,0.1295180723,0.139554795,0.17299509,3,1,0.16590179,0,0.1362095,1,1,0,3,1,4,5,0,70,1,1,0.1734838,3,3,0,0.095063985,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.15068493,0.0221552268,4,68,0,3,0,0,0,0,0,0,0,3,0,0.18770078,0,0.15410701,0,2,0,2,2,2,6,0,43,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.21575342,0.0343920166,6,58,0.063125,3,3,3,1,3,0.1139262934,0.190496575,0.17806874,5,1,0.227168426,0,0.18651093,0,2,0,3,1,3,6,1,58,2,2,0.3102962,3,3,0,0.252285192,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
0.32191781,0.0729393068,5,64,0,3,3,3,4,4,0.1713323884,0.163955479,0.22094926,4,1,0.228086278,0,0.18726451,0,1,1,2,1,3,5,2,64,2,1,0.2172073,3,2,0,0.190127971,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.16438356,0.036831896,5,40,0,3,4,3,3,5,0.1323529412,0,0.13747954,4,1,0.126204681,0,0.10361718,1,1,0,2,1,4,5,0,40,2,2,0.3554302,3,3,0.28004667,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.16438356,0.036925378,5,48,0,3,4,3,3,2,0.0496102055,0.071489726,0.15351882,3,1,0.138595686,0,0.1137905,1,1,0,3,1,3,5,0,46,1,1,0.2172073,3,3,0.16919487,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.16780822,0.0310593844,5,64,0,3,3,3,1,5,0.0317150957,0.199058219,0.18821604,5,1,0.187241854,0,0.15373022,1,1,0,3,1,3,6,0,64,2,1,0.2115656,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.1369863,0.0297179182,9,18,0.2575,5,5,3,1,6,0.0807937633,0.554794521,0.28674304,5,1,0.325378614,0,0.26714393,1,2,0,2,1,5,6,1,18,2,2,0.4062059,3,3,0.22870478,0.149908592,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0.09246575,0.0538549627,7,20,0,4,5,3,1,6,0.2393692417,0.035530822,0.23469722,5,1,0.271684259,0.30556901,0.3419367,1,1,1,1,1,4,6,1,20,2,2,0.4724965,3,3,0.19603267,0.078610603,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.21575342,0.0457874687,8,17,0,4,4,3,3,6,0.0042523033,0.698630137,0.2710311,5,1,0.303350161,0,0.24905803,0,2,0,3,1,4,7,0,17,2,3,0.5825106,3,3,0,0.26691042,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.04109589,0.0147514548,4,103,0,3,3,3,1,1,0,0.315068493,0.12045827,4,1,0.092244149,0.34673123,0.21062547,0,2,0,2,3,3,8,0,43,1,0,0,3,1,0,0,0.18478261,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0.15410959,0.0301105424,5,57,0,3,3,3,1,4,0.1351878101,0.082191781,0.15630115,5,1,0.142496558,0,0.11699322,1,1,0,3,1,3,6,0,57,1,1,0.2722144,3,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.16438356,0.0587487438,6,26,0,3,4,3,3,6,0.0322466336,0.261986301,0.1299509,4,1,0.105553006,0.32736077,0.21401658,0,2,0,3,1,3,6,0,26,3,2,0.2736248,3,3,0,0.137111517,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.10616438,0.0230900465,6,89,0,3,3,3,1,1,0,0.349315068,0.13355155,3,1,0.110601193,0,0.15862849,0,1,0,3,1,3,6,1,38,1,2,0.3723554,3,3,0.13068845,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
0.30479452,0.0335226343,5,60,0,2,4,3,4,2,0.0184266478,0,0.13355155,3,0,0.110601193,0,0.09080633,1,1,0,2,1,3,5,0,60,1,2,0.3638928,3,3,0.12368728,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0.1609589,0.2288952768,9,42,0,4,5,3,4,6,0.3206945429,0.01369863,0.301473,4,1,0.346030289,0,0.28409947,2,0,1,0,1,4,5,1,42,3,3,0.6304654,3,3,1,0.131627057,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.13356164,0.0272686906,5,68,0,3,3,3,1,5,0.0680368533,0,0.06284779,3,1,0.235429096,0,0.19329314,0,1,0,3,1,3,6,1,61,1,2,0.403385,3,3,0,0.091407678,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0.27054795,0.041482624,6,59,0.17,3,3,3,1,4,0.0868178597,0.400256849,0.23322422,4,1,0.250344195,0,0.20553881,0,2,0,3,1,3,7,1,59,2,2,0.4062059,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
